poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
61,4,2014,1,1,1,3,1,1,0,1,8.03,66.97,1018.31,2.59,0.4
61,2,2014,1,1,1,3,1,2,0,1,5.59,76.46,1018.75,1.39,0.44
61,3,2014,1,2,2,4,1,0,0,0,4.66,84.17,1016.88,2.16,0.66
61,4,2014,1,2,2,4,1,1,0,0,5.64,85.78,1015.63,2.82,1.61
61,3,2014,1,2,2,4,1,2,0,0,5.25,87.99,1016.08,2.44,2.21
61,4,2014,1,3,3,5,1,0,0,0,6.38,87.94,1018.54,2.14,0.39
61,4,2014,1,3,3,5,1,1,0,0,7.57,85.51,1017.59,2.73,0.63
61,3,2014,1,3,3,5,1,2,0,0,7.02,87.59,1017.96,2.11,1.96
61,3,2014,1,4,4,6,1,0,1,0,6.84,92.55,1017.63,3.44,4.31
61,4,2014,1,4,4,6,1,1,1,0,7.56,93.0,1011.62,4.9,8.97
61,2,2014,1,4,4,6,1,2,1,0,7.84,93.23,1008.22,5.21,14.84
61,2,2014,1,5,5,7,1,0,1,0,8.19,91.97,1004.35,6.3,11.3
61,2,2014,1,5,5,7,1,1,1,0,8.57,88.52,1004.54,7.3,15.92
61,1,2014,1,5,5,7,1,2,1,0,8.43,86.0,1006.36,5.87,16.82
61,1,2014,1,6,6,1,2,0,0,1,8.05,83.25,1018.79,3.11,0.16
61,3,2014,1,6,6,1,2,1,0,1,10.87,74.97,1018.23,3.12,0.68
61,1,2014,1,6,6,1,2,2,0,1,8.95,81.05,1018.84,1.57,0.48
61,1,2014,1,7,7,2,2,0,0,0,7.57,86.25,1021.58,1.75,0.06
61,2,2014,1,7,7,2,2,1,0,0,9.35,81.89,1019.89,1.71,0.1
61,1,2014,1,8,8,3,2,0,0,0,7.02,88.14,1024.68,1.72,0.1
61,1,2014,1,8,8,3,2,1,0,0,9.12,83.01,1023.61,2.01,0.16
61,1,2014,1,8,8,3,2,2,0,0,7.83,86.09,1023.49,1.43,0.17
61,1,2014,1,9,9,4,2,0,0,0,6.13,88.62,1019.3,1.5,0.06
61,2,2014,1,9,9,4,2,1,0,0,8.07,85.12,1016.74,1.71,1.1
61,1,2014,1,9,9,4,2,2,0,0,7.34,87.21,1016.09,1.19,4.94
61,1,2014,1,10,10,5,2,0,0,0,7.83,89.5,1017.36,2.46,0.04
61,2,2014,1,10,10,5,2,1,0,0,9.08,85.7,1016.03,2.49,0.05
61,1,2014,1,10,10,5,2,2,0,0,8.46,86.53,1016.84,1.49,0.06
