poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
42,2,2014,1,2,2,4,1,0,0,0,5.15,83.98,1016.64,2.39,0.76
42,4,2014,1,2,2,4,1,1,0,0,5.64,85.78,1015.63,2.82,1.61
42,2,2014,1,2,2,4,1,2,0,0,5.29,87.72,1015.97,2.41,2.15
42,3,2014,1,3,3,5,1,0,0,0,6.07,88.2,1018.72,2.1,0.37
42,4,2014,1,3,3,5,1,1,0,0,7.57,85.51,1017.59,2.73,0.63
42,4,2014,1,3,3,5,1,2,0,0,7.02,87.59,1017.96,2.11,1.96
42,1,2014,1,4,4,6,1,0,1,0,7.0,92.67,1017.15,3.71,4.91
42,4,2014,1,4,4,6,1,1,1,0,7.56,93.0,1011.62,4.9,8.97
42,3,2014,1,4,4,6,1,2,1,0,7.84,93.23,1008.22,5.21,14.84
42,1,2014,1,5,5,7,1,0,1,0,8.49,91.05,1004.28,6.51,13.03
42,2,2014,1,5,5,7,1,1,1,0,8.55,88.64,1004.49,7.27,15.7
42,1,2014,1,5,5,7,1,2,1,0,8.43,86.0,1006.36,5.87,16.82
42,1,2014,1,6,6,1,2,0,0,1,8.82,81.77,1019.06,3.28,0.18
42,2,2014,1,6,6,1,2,1,0,1,10.87,74.97,1018.23,3.12,0.68
42,1,2014,1,6,6,1,2,2,0,1,9.56,79.39,1019.39,1.43,0.48
42,1,2014,1,7,7,2,2,1,0,0,9.38,81.8,1019.89,1.62,0.11
42,1,2014,1,7,7,2,2,2,0,0,7.82,85.66,1020.54,0.99,0.15
42,1,2014,1,8,8,3,2,0,0,0,7.62,87.08,1024.68,1.83,0.1
42,2,2014,1,8,8,3,2,1,0,0,9.12,83.01,1023.61,2.01,0.16
42,1,2014,1,8,8,3,2,2,0,0,7.7,86.7,1023.52,1.39,0.18
42,1,2014,1,9,9,4,2,0,0,0,6.12,88.53,1019.55,1.57,0.07
42,1,2014,1,9,9,4,2,1,0,0,8.15,85.02,1016.52,1.67,1.42
42,1,2014,1,9,9,4,2,2,0,0,7.34,87.21,1016.09,1.19,4.94
42,1,2014,1,10,10,5,2,0,0,0,8.25,88.74,1016.66,2.88,0.04
42,3,2014,1,10,10,5,2,1,0,0,9.07,85.6,1016.07,2.44,0.05
42,3,2014,1,11,11,6,2,1,1,0,9.12,85.11,1018.85,1.64,0.62
42,1,2014,1,11,11,6,2,2,1,0,8.35,87.28,1018.21,1.21,0.2
42,1,2014,1,12,12,7,2,0,1,0,8.23,83.91,1021.75,2.0,0.05
42,2,2014,1,12,12,7,2,1,1,0,9.12,81.05,1019.23,1.94,0.09
42,1,2014,1,12,12,7,2,2,1,0,8.16,83.37,1018.7,1.54,0.13
42,1,2014,1,13,13,1,3,2,0,0,7.6,84.32,1016.35,1.28,0.09
42,1,2014,1,14,14,2,3,0,0,0,7.24,90.6,1005.92,4.91,12.48
42,1,2014,1,14,14,2,3,1,0,0,7.54,90.2,1004.54,4.37,15.27
42,1,2014,1,14,14,2,3,2,0,0,7.51,89.48,1004.88,3.2,17.12
42,1,2014,1,15,15,3,3,0,0,0,5.64,87.95,1010.94,2.92,0.64
42,1,2014,1,15,15,3,3,1,0,0,7.84,82.21,1010.62,3.23,1.09
42,1,2014,1,15,15,3,3,2,0,0,7.01,84.41,1011.74,2.04,1.15
42,1,2014,1,16,16,4,3,0,0,0,5.76,89.32,1015.7,1.69,1.52
42,1,2014,1,16,16,4,3,1,0,0,6.78,86.78,1014.63,2.38,1.77
42,1,2014,1,16,16,4,3,2,0,0,6.54,87.88,1014.46,1.93,1.86
42,1,2014,1,17,17,5,3,0,0,0,7.22,88.84,1009.62,5.32,7.59
42,1,2014,1,17,17,5,3,2,0,0,7.31,90.86,1007.14,4.21,16.25
42,2,2014,1,18,18,6,3,0,1,0,7.21,92.41,1009.0,2.83,8.46
42,3,2014,1,18,18,6,3,1,1,0,7.59,92.12,1005.51,3.17,9.75
42,1,2014,1,18,18,6,3,2,1,0,7.83,90.81,1005.02,3.83,12.66
42,1,2014,1,19,19,7,3,0,1,0,8.34,92.54,1003.56,3.88,9.07
42,2,2014,1,19,19,7,3,1,1,0,9.1,91.66,1001.83,4.84,10.62
42,1,2014,1,19,19,7,3,2,1,0,8.95,91.12,1001.05,4.46,12.09
42,1,2014,1,20,20,1,4,1,0,0,9.2,89.02,998.37,3.05,-2.59
42,1,2014,1,20,20,1,4,2,0,0,8.9,88.93,998.18,2.84,-2.41
42,1,2014,1,21,21,2,4,0,0,0,9.01,84.47,1002.83,4.45,-2.47
42,1,2014,1,21,21,2,4,1,0,0,11.17,75.71,1002.94,4.33,-4.01
42,1,2014,1,21,21,2,4,2,0,0,9.36,81.01,1004.57,2.8,-3.71
42,1,2014,1,22,22,3,4,0,0,0,9.54,76.46,1010.62,2.91,0.47
42,1,2014,1,22,22,3,4,1,0,0,10.61,73.24,1007.84,3.07,0.81
42,1,2014,1,22,22,3,4,2,0,0,9.17,78.43,1008.79,1.67,1.1
42,1,2014,1,23,23,4,4,1,0,0,9.42,76.41,1014.55,2.44,0.2
42,1,2014,1,23,23,4,4,2,0,0,8.64,81.47,1013.43,1.4,0.41
42,1,2014,1,24,24,5,4,0,0,0,7.18,81.82,1005.3,5.31,3.49
42,1,2014,1,24,24,5,4,1,0,0,7.71,74.87,1003.55,6.48,3.92
42,1,2014,1,25,25,6,4,0,1,0,5.9,67.03,1008.66,6.47,1.1
42,3,2014,1,25,25,6,4,1,1,0,8.7,57.57,1007.67,6.9,1.29
42,2,2014,1,25,25,6,4,2,1,0,6.43,65.47,1008.12,3.92,1.46
42,1,2014,1,26,26,7,4,0,1,0,4.41,72.25,1007.48,4.25,0.03
42,3,2014,1,26,26,7,4,1,1,0,8.34,60.17,1006.81,5.37,0.1
42,1,2014,1,26,26,7,4,2,1,0,7.86,61.27,1006.56,3.93,0.16
42,1,2014,1,27,27,1,5,1,0,0,6.56,70.86,996.2,3.92,0.46
42,1,2014,1,27,27,1,5,2,0,0,5.09,82.63,995.97,3.42,1.56
42,1,2014,1,28,28,2,5,0,0,0,4.89,81.3,998.37,4.66,4.22
42,2,2014,1,28,28,2,5,1,0,0,5.97,76.84,997.52,5.08,4.61
42,1,2014,1,28,28,2,5,2,0,0,5.08,78.46,997.59,3.54,4.94
42,1,2014,1,29,29,3,5,1,0,0,6.04,71.05,1003.0,4.61,0.5
42,1,2014,1,30,30,4,5,2,0,0,5.79,89.75,1006.41,8.06,18.76
42,2,2014,1,31,31,5,5,1,0,0,7.21,92.67,1010.54,4.08,20.76
42,1,2014,1,31,31,5,5,2,0,0,7.04,92.78,1011.53,4.23,24.39
42,1,2014,2,1,32,6,5,0,1,0,8.2,92.5,1009.68,4.0,9.77
42,4,2014,2,1,32,6,5,1,1,0,8.54,91.68,1006.73,4.07,11.41
42,1,2014,2,1,32,6,5,2,1,0,8.24,92.48,1005.92,4.01,12.73
42,1,2014,2,2,33,7,5,0,1,0,7.75,93.08,1006.91,3.69,5.53
42,1,2014,2,2,33,7,5,1,1,0,8.27,92.72,1005.52,4.54,6.88
42,1,2014,2,3,34,1,6,1,0,0,8.02,90.69,1011.75,4.87,14.33
42,1,2014,2,3,34,1,6,2,0,0,7.86,91.26,1011.75,4.18,16.14
42,1,2014,2,4,35,2,6,0,0,0,6.81,91.94,1014.38,4.2,7.83
42,1,2014,2,4,35,2,6,1,0,0,7.58,90.69,1014.09,3.92,9.61
42,1,2014,2,5,36,3,6,1,0,0,8.27,88.92,1009.0,3.33,1.33
42,1,2014,2,5,36,3,6,2,0,0,7.9,87.91,1007.12,3.46,2.27
42,2,2014,2,6,37,4,6,1,0,0,10.7,72.12,1012.4,5.65,3.31
42,1,2014,2,6,37,4,6,2,0,0,10.26,73.18,1012.73,3.25,3.44
42,1,2014,2,7,38,5,6,0,0,0,8.49,83.07,1012.97,4.34,0.42
42,2,2014,2,7,38,5,6,1,0,0,8.96,82.17,1010.75,5.92,1.31
42,1,2014,2,8,39,6,6,0,1,0,8.59,85.17,1009.37,3.39,1.19
42,3,2014,2,8,39,6,6,1,1,0,9.47,81.13,1007.63,4.32,1.48
42,1,2014,2,8,39,6,6,2,1,0,8.63,84.29,1006.62,3.45,1.9
42,1,2014,2,9,40,7,6,0,1,0,7.42,86.58,1001.02,5.73,9.31
42,2,2014,2,9,40,7,6,1,1,0,9.36,76.99,999.66,8.19,10.08
42,1,2014,2,9,40,7,6,2,1,0,9.05,72.96,1002.01,5.7,10.57
42,2,2014,2,10,41,1,7,1,0,0,6.48,88.88,1002.07,8.9,9.03
42,1,2014,2,10,41,1,7,2,0,0,6.63,88.12,1001.0,9.17,12.34
42,1,2014,2,11,42,2,7,0,0,0,7.9,88.78,1003.69,3.21,2.53
42,2,2014,2,11,42,2,7,1,0,0,8.98,85.15,1002.72,3.28,3.08
42,1,2014,2,11,42,2,7,2,0,0,8.64,85.46,1002.35,3.08,3.58
42,2,2014,2,12,43,3,7,1,0,0,11.59,61.68,1005.32,5.11,0.7
42,1,2014,2,12,43,3,7,2,0,0,10.58,66.14,1006.77,2.96,0.83
42,1,2014,2,13,44,4,7,1,0,0,9.38,73.98,1009.83,4.71,0.23
42,1,2014,2,13,44,4,7,2,0,0,8.19,82.39,1006.61,4.65,1.1
42,1,2014,2,14,45,5,7,0,0,1,9.25,73.36,1011.39,4.83,0.35
